ID,year,loan_limit,Gender,approv_in_adv,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
25048,2019,,Female,nopre,p4,l1,nopc,nob/c,716500,3.75,1.0231,5882.75,348,neg_amm,not_int,lpsm,1048000.0,home,3U,1320.0,CRIF,885,EXP,45-54,96.49390244,south,direct,0,31.0
25271,2019,cf,Joint,,p2,l1,nopc,nob/c,546500,3.775,0.0897,1431.25,276,neg_amm,not_int,not_lpsm,218000.0,home,2U,9840.0,CRIF,519,EXP,25-34,78.97923875,south,direct,0,52.0
25307,2019,cf,Joint,pre,p1,l1,opc,nob/c,506500,5.375,0.9612,2650.0,96,not_neg,not_int,not_lpsm,188000.0,home,1U,14580.0,CRIF,558,CIB,35-44,75.71770335,south,direct,0,44.0
25449,2019,cf,Joint,nopre,p2,l1,nopc,nob/c,986500,,-0.55,3996.87,360,not_neg,not_int,not_lpsm,648000.0,home,1U,7380.0,CIB,682,CIB,45-54,42.71561772,North-East,direct,0,35.0
25054,2019,cf,Sex Not Available,nopre,p3,l1,opc,nob/c,436500,4.0,-0.2497,516.96,192,not_neg,int_only,not_lpsm,168000.0,home,1U,26100.0,EXP,735,EXP,35-44,80.36971831,North,direct,0,17.0
25015,2019,cf,Sex Not Available,nopre,p4,l1,nopc,b/c,396500,4.25,-0.1555,6549.46,156,not_neg,int_only,lpsm,348000.0,home,1U,6060.0,EQUI,621,EXP,45-54,74.543379,central,direct,1,44.0
25343,2019,cf,Male,nopre,p4,l1,nopc,nob/c,406500,5.0,0.2594,1070.0,324,not_neg,not_int,not_lpsm,348000.0,home,2U,12240.0,CIB,501,CIB,65-74,49.0942029,North,direct,0,47.0
25746,2019,cf,Sex Not Available,nopre,p4,l2,nopc,b/c,666500,3.125,-0.0191,3495.0,96,not_neg,not_int,not_lpsm,1018000.0,home,3U,7980.0,CIB,524,EXP,35-44,81.98818898,central,direct,0,
25865,2019,cf,Male,nopre,p4,l1,nopc,b/c,686500,,-0.2774,3170.0,360,not_neg,not_int,not_lpsm,1018000.0,home,1U,32400.0,EXP,623,EXP,55-64,20.15570934,North,direct,0,21.0
24916,2019,cf,Male,nopre,p3,l1,nopc,b/c,716500,,1.3206,4070.0,300,not_neg,not_int,lpsm,328000.0,home,3U,14580.0,CIB,584,CIB,35-44,98.29545455,south,direct,0,24.0
25130,2019,cf,Male,,p4,l1,nopc,b/c,376500,4.125,0.5343,14300.25,324,not_neg,not_int,not_lpsm,2398000.0,home,1U,13560.0,EXP,628,EXP,45-54,34.87903226,North-East,direct,1,30.0
25727,2019,cf,Sex Not Available,nopre,p3,l1,nopc,b/c,516500,,0.8243,4412.33,240,not_neg,not_int,not_lpsm,768000.0,home,1U,4440.0,EXP,721,EXP,35-44,85.07194245,south,direct,0,45.0
25470,2019,ncf,Joint,pre,p4,l1,nopc,nob/c,366500,3.5,0.3719,660.62,348,not_neg,not_int,not_lpsm,398000.0,home,1U,4860.0,CIB,569,CIB,45-54,67.51893939,south,direct,0,48.0
25221,2019,ncf,Male,nopre,p3,l1,nopc,nob/c,336500,3.875,1.0471,2843.93,312,not_neg,not_int,not_lpsm,108000.0,home,4U,11880.0,EXP,858,CIB,45-54,90.57017544,south,direct,0,
