ID,year,loan_limit,Gender,approv_in_adv,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,LTV,Region,Security_Type,Status,dtir1
25114,2019,cf,Sex Not Available,pre,p2,l1,nopc,nob/c,236500,2.875,0.609,1063.91,324,not_neg,int_only,not_lpsm,308000.0,home,3U,3120.0,EQUI,781,EXP,25-34,33.97435897,south,direct,1,29.0
25307,2019,cf,Joint,nopre,p4,l1,nopc,nob/c,576500,5.5,0.6574,3905.9,192,not_neg,not_int,not_lpsm,528000.0,home,4U,3120.0,EQUI,567,EXP,65-74,69.97716895,central,direct,0,20.0
25747,2019,cf,Joint,,p3,l1,nopc,b/c,386500,4.49,0.754,1722.89,288,not_neg,not_int,not_lpsm,358000.0,home,1U,3540.0,CRIF,504,CIB,>74,70.93301435,North,direct,0,14.0
25875,2019,cf,Female,nopre,p3,l1,nopc,nob/c,566500,4.625,-0.3592,1330.09,300,not_neg,not_int,not_lpsm,828000.0,home,4U,15840.0,CIB,573,CIB,<25,99.41860465,North,direct,0,21.0
24954,2019,,Joint,nopre,p4,l1,nopc,nob/c,906500,4.0,1.1522,2768.18,228,not_neg,not_int,lpsm,,home,1U,4560.0,CRIF,777,EXP,25-34,47.84482759,south,direct,1,43.0
25477,2019,cf,Male,nopre,p4,l1,nopc,nob/c,126500,3.625,-0.2432,3817.34,288,not_neg,not_int,not_lpsm,2398000.0,home,2U,9000.0,CRIF,663,CIB,>74,94.47115385,North,direct,0,47.0
25568,2019,cf,Joint,nopre,p3,l2,nopc,b/c,176500,5.75,0.0742,1410.34,180,not_neg,not_int,not_lpsm,1068000.0,home,1U,15180.0,CIB,617,EXP,55-64,71.64804469,North,direct,0,
25686,2019,cf,Male,nopre,p3,l1,nopc,nob/c,176500,4.99,1.3552,3455.75,360,neg_amm,not_int,not_lpsm,268000.0,home,1U,5460.0,CRIF,806,EXP,35-44,87.22570533,North,direct,1,16.0
25289,2019,,Joint,nopre,p2,l1,nopc,nob/c,636500,3.775,0.3451,4395.0,276,not_neg,not_int,not_lpsm,1018000.0,home,4U,13440.0,EXP,511,CIB,35-44,63.13694268,North,direct,0,33.0
24917,2019,,Male,nopre,p4,l1,nopc,nob/c,176500,3.56,-0.1555,460.04,180,neg_amm,not_int,not_lpsm,928000.0,home,3U,11820.0,CRIF,607,EXP,35-44,65.31862745,south,direct,0,58.0
25363,2019,cf,Male,nopre,p2,l1,nopc,nob/c,826500,5.19,0.6165,3931.25,180,not_neg,not_int,lpsm,588000.0,home,4U,8640.0,CIB,703,EXP,45-54,87.13389121,North,direct,0,28.0
25670,2019,cf,Joint,nopre,p4,l1,nopc,nob/c,496500,5.5,0.0368,503.24,300,not_neg,not_int,not_lpsm,298000.0,home,1U,13140.0,EXP,784,CIB,65-74,64.96138996,North,direct,0,56.0
25318,2019,ncf,Joint,nopre,p3,l1,nopc,b/c,406500,3.5,0.9662,662.44,360,not_neg,not_int,not_lpsm,548000.0,home,1U,7800.0,CIB,662,EXP,55-64,73.70689655,North,direct,0,35.0
25297,2019,cf,Sex Not Available,nopre,p4,l1,nopc,nob/c,226500,,-0.1012,4771.47,312,not_neg,int_only,not_lpsm,618000.0,home,1U,3540.0,EXP,630,CIB,35-44,103.7148594,North,direct,0,51.0
25542,2019,cf,Male,nopre,p1,l1,nopc,nob/c,356500,4.49,0.3492,5560.63,120,not_neg,not_int,not_lpsm,1028000.0,home,3U,16200.0,CRIF,597,EXP,45-54,74.64157706,south,direct,0,49.0
25559,2019,cf,Joint,nopre,p1,l1,nopc,nob/c,236500,2.875,1.3051,12030.0,96,not_neg,not_int,not_lpsm,1268000.0,home,3U,2760.0,EXP,556,EXP,65-74,86.59539474,south,direct,0,31.0
25041,2019,cf,Joint,nopre,p3,l1,nopc,nob/c,386500,3.5,0.0562,1235.0,108,not_neg,not_int,not_lpsm,838000.0,home,2U,4320.0,EQUI,618,EXP,65-74,37.21294363,North,direct,0,11.0
25173,2019,cf,Joint,nopre,p3,l1,nopc,nob/c,906500,3.875,0.5422,3890.58,96,not_neg,not_int,lpsm,358000.0,home,1U,5220.0,EXP,652,CIB,65-74,94.45876289,south,direct,0,51.0
25613,2019,cf,Male,pre,p4,l1,opc,nob/c,586500,5.625,-0.3063,3820.0,312,not_neg,int_only,not_lpsm,778000.0,home,1U,1920.0,CRIF,698,CIB,25-34,83.26612903,central,direct,0,49.0
25150,2019,cf,Joint,nopre,p4,l1,opc,nob/c,506500,4.5,1.1326,19700.0,180,not_neg,not_int,not_lpsm,518000.0,home,1U,10620.0,CRIF,533,CIB,45-54,87.79069767,North,direct,0,11.0
25744,2019,ncf,Male,nopre,p4,l1,nopc,nob/c,256500,2.75,0.3906,2800.0,300,not_neg,not_int,not_lpsm,458000.0,home,1U,7920.0,EXP,730,CIB,>74,80.66037736,south,direct,0,39.0
25067,2019,cf,Sex Not Available,pre,p2,l1,opc,nob/c,226500,4.375,0.9385,5437.5,324,not_neg,not_int,not_lpsm,1008000.0,home,4U,6960.0,CRIF,612,CIB,25-34,85.28708134,North,direct,0,6.0
25128,2019,cf,Joint,nopre,p1,l1,nopc,b/c,326500,4.99,0.1971,5166.3,156,not_neg,int_only,not_lpsm,268000.0,home,1U,5400.0,EQUI,732,CIB,45-54,74.543379,south,direct,0,13.0
25131,2019,cf,Female,,p4,l1,nopc,nob/c,266500,3.875,0.6149,662.44,180,not_neg,not_int,not_lpsm,718000.0,home,1U,5160.0,EXP,749,EXP,25-34,95.48710602,south,direct,0,45.0
25088,2019,cf,Male,nopre,p2,l1,nopc,nob/c,666500,3.65,0.5321,6720.0,180,not_neg,not_int,not_lpsm,698000.0,home,1U,1440.0,CRIF,720,EXP,,72.0734127,North,direct,0,59.0
25375,2019,cf,Joint,pre,p2,l1,nopc,nob/c,106500,3.75,0.8453,12500.0,144,not_neg,not_int,lpsm,548000.0,home,2U,14640.0,CIB,783,CIB,45-54,76.62037037,south,direct,1,42.0
25406,2019,,Female,nopre,p3,l1,opc,b/c,536500,4.5,0.2086,1086.46,144,not_neg,not_int,not_lpsm,748000.0,home,4U,15840.0,CIB,711,EXP,25-34,66.15168539,south,direct,1,49.0
